No,Keyword,Volume,Position,Estimated Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL
3071,stella r,27100,7,915,$0.16,1,16,https://www.zomato.com/hyderabad/stellar-reserve-jubilee-hills
3072,sexy fish menu,27100,9,406,$0.39,3,29,https://www.zomato.com/dubai/sexy-fish-difc
3073,seafood in near me,27100,4,8238,$0.09,8,30,https://www.zomato.com/ncr/restaurants/sea-food
3074,royal restaurant,22200,4,8238,$0,1,25,https://www.zomato.com/ncr/royal-restaurant-connaught-place-new-delhi
3075,restaurants kolkata,27100,4,8238,$0.36,6,28,https://www.zomato.com/kolkata/restaurants
3076,restaurants in mysore city,27100,8,2636,$0.04,9,35,https://www.zomato.com/mysore/dine-out
3077,restaurants for delivery,27100,8,1270,$0.14,2,26,https://www.zomato.com/ncr/delivery
3078,tiranga hotel,33100,6,8238,$0.03,1,22,https://www.zomato.com/pune/tiranga-veg-non-veg-pimpri
3079,maidan garhi,27100,23,89,$0,4,28,https://www.zomato.com/ncr/bakeries?zomato_place_id=115814
3080,leela kovalam,27100,32,56,$0.18,60,45,https://www.zomato.com/trivandrum/the-terrace-the-leela-raviz-kovalam-kovalam
3081,kebab,27100,10,1785,$0,1,40,https://www.zomato.com/pune/restaurants/kebab
3082,jaipur itc rajputana,27100,20,138,$0.74,36,42,https://www.zomato.com/jaipur/restaurants/in/itc-rajputana-hotel-gopalbari
3083,jaipur good restaurants,27100,4,8238,$0.06,14,24,https://www.zomato.com/jaipur/restaurants
3084,j w marriott in mussoorie,27100,21,89,$0.32,60,43,https://www.zomato.com/mussoorie/restaurants/in/jw-marriott-mussoorie-walnut-grove-resort-spa-kempty-fall
3085,indiranagar social,27100,2,4390,$0.31,5,19,https://www.zomato.com/bangalore/indiranagar-social-indiranagar-bangalore
3086,ice cream shop,40500,5,4390,$0.37,3,26,https://www.zomato.com/ice-cream-restaurants-near-me
3087,hyatt place gurgaon,27100,16,159,$5.72,20,28,https://www.zomato.com/ncr/gallery-caf-hyatt-place-udyog-vihar
3088,hotel madhuban dehradun,4400,12,406,$0.32,56,20,https://www.zomato.com/dehradun/gourmet-culture-hotel-madhuban-hathibarkala-salwala
3089,rasta peth pune,27100,12,533,$0.12,4,21,https://www.zomato.com/pune/rasta-peth-restaurants
3090,chander nagar,22200,9,533,$0,9,27,https://www.zomato.com/ncr/chander-nagar-delhi-delhi-restaurants
3091,hotel ibis hosur road,27100,9,533,$0.60,20,22,https://www.zomato.com/bangalore/spice-it-ibis-bengaluru-hosur-road-bommanahalli-bangalore
3092,hotel ibis bengaluru hosur road,27100,14,246,$0.55,18,23,https://www.zomato.com/bangalore/spice-it-ibis-bengaluru-hosur-road-bommanahalli-bangalore
3093,gossip,22200,13,246,$0,1,37,https://www.zomato.com/kolkata/gossip-your-neighbourhood-restopub-ajoy-nagar
3094,frozen bottle near me,49500,5,4390,$0.32,2,20,https://www.zomato.com/chennai/frozen-bottle-milkshakes-desserts-and-ice-cream-anna-nagar-west
3095,forum rex walk,27100,2,4390,$0,7,24,https://www.zomato.com/bangalore/restaurants/in/forum-rex-walk
3096,five star chicken near me,22200,7,2636,$0.24,2,12,https://www.zomato.com/bangalore/restaurants/five-star-chicken-2
3097,eating places near me,22200,4,8238,$0.23,14,16,https://www.zomato.com/restaurants-near-me
3098,bhubaneswar mayfair lagoon,27100,17,159,$0.21,23,36,https://www.zomato.com/bhubaneswar/restaurants/in/mayfair-lagoon-jayadev-vihar
3099,best restaurants mumbai,33100,4,8238,$0.36,7,25,https://www.zomato.com/mumbai/restaurants
3100,bask by coffee palavakkam,8100,3,8238,$0.13,9,23,https://www.zomato.com/chennai/bask-by-coffee-palavakkam-palavakkam
3101,badlapur place,27100,36,56,$0,4,28,https://www.zomato.com/mumbai/badlapur-restaurants
3102,al amanah restaurant,27100,3,8238,$0.70,1,27,https://www.zomato.com/bangalore/al-amanah-cafe-kammanahalli-bangalore
3103,2 bhk diner & key club,27100,4,4390,$0.32,3,22,https://www.zomato.com/pune/2bhk-diner-key-club-bund-garden
3104,urban chowk rajpath club road,18100,5,4390,$0.15,7,21,https://www.zomato.com/ahmedabad/restaurants/in/urban-chowk
3105,top pune restaurants,27100,4,8238,$0.06,8,23,https://www.zomato.com/pune/dine-out
3106,the glass onion charleston,27100,38,56,$0.11,3,42,https://www.zomato.com/hyderabad/the-glass-onion-gachibowli/menu
3107,the brown table,18100,3,8238,$0.33,8,44,https://www.zomato.com/bangalore/the-brown-table-malleshwaram-bangalore
3108,taj surajkund,18100,9,693,$0.20,68,21,https://www.zomato.com/ncr/restaurants/in/taj-surajkund-resort-spa-delhi-ncr
3109,sula wine nashik,12100,15,203,$0.06,1,16,https://www.zomato.com/nashik/sula-vineyards-satpur
3110,wholesome foods,27100,22,138,$0.39,1,25,https://www.zomato.com/pune/wholesome-meals-baner
3111,restaurant that delivers,27100,5,4390,$0.10,2,23,https://www.zomato.com/
3112,restaurant kolkata,27100,4,8238,$0.16,5,28,https://www.zomato.com/kolkata/restaurants
3113,restaurant halal near me,27100,5,8238,$0.04,8,22,https://www.zomato.com/dehradun/restaurants/mughal-zaika-dehradun-halal-restaurant
3114,radisson blu mbd hotel noida,27100,6,1785,$0.32,13,17,https://www.zomato.com/ncr/restaurants/in/radisson-blu-mbd-hotel-sector-18-noida
3115,radisson blu dwarka delhi,33100,11,406,$0.26,56,42,https://www.zomato.com/ncr/restaurants/in/radisson-blu-sector-13-dwarka
3116,pondicherry white town,22200,23,116,$0.29,6,21,https://www.zomato.com/puducherry/best-white-town-restaurants
3117,pizzeria vaatika cafe varanasi,27100,3,8238,$0,1,14,https://www.zomato.com/varanasi/pizzeria-vaatika-cafe-assi-ghat
3118,paradise biryani near me,33100,6,4390,$0.41,4,16,https://www.zomato.com/hyderabad/paradise-biryani-a-legend-since-1953-1-hitech-city
3119,olive garden,22200,11,915,$1.58,2,25,https://www.zomato.com/guwahati/olive-garden-christian-basti
3120,near me sea food,27100,4,8238,$0.06,9,26,https://www.zomato.com/seafood-restaurants-near-me
3121,near bars near me,27100,4,8238,$0.07,17,25,https://www.zomato.com/bars-near-me
3122,road number 5,27100,19,151,$0.12,4,17,https://www.zomato.com/hyderabad/road-number-5-buddha-nagar-colony-restaurants
3123,marketplace delhi,27100,2,4390,$0.39,1,27,https://www.zomato.com/ncr/the-marketplace-kirti-nagar-new-delhi
3124,malabar restaurant,22200,6,2636,$0.29,1,25,https://www.zomato.com/ncr/hotel-malabar-new-friends-colony-new-delhi
3125,krishna palace,27100,40,56,$0.14,4,28,https://www.zomato.com/mumbai/restaurants/in/hotel-krishna-palace
3126,karnal haveli,27100,16,246,$0.09,3,27,https://www.zomato.com/karnal/karnal-haveli-alpha-international-city/order
3127,j w marriott pune,33100,6,1785,$0.70,50,44,https://www.zomato.com/pune/restaurants/in/marriott-hotel-senapati-bapat-road
3128,itc rajputana,27100,8,693,$0.41,37,38,https://www.zomato.com/jaipur/restaurants/in/itc-rajputana-hotel-gopalbari
3129,hyderabad airport novotel,27100,12,306,$0.77,21,41,https://www.zomato.com/hyderabad/restaurants/in/novotel-hyderabad-airport
3130,hotel ramakrishna mumbai,27100,7,1270,$0.11,3,22,https://www.zomato.com/mumbai/rama-krishna-vile-parle-east
3131,mocha in pune,27100,5,4390,$0.06,1,21,https://www.zomato.com/pune/mocha-wanowrie
3132,eternal limited,14800,27,56,$0,1,45,https://www.zomato.com/
3133,dlf one horizon center,40500,2,4390,$0.47,2,21,https://www.zomato.com/ncr/restaurants/in/dlf-horizon-center
3134,delhi 6,27100,16,246,$0.02,1,50,https://www.zomato.com/ncr/delhi-6-1-civil-lines-new-delhi
3135,cream centre,27100,5,4390,$0.05,2,27,https://www.zomato.com/mumbai/cream-centre-vegetarian-legacy-since-1958-chowpatty
3136,basque bakery,27100,4,4390,$0.17,2,28,https://www.zomato.com/bangalore/basque-bakery-koramangala-7th-block-bangalore
3137,bangalore tiffin room,12100,5,4390,$1.19,5,23,https://www.zomato.com/pune/bangalore-tiffin-room-shivaji-nagar
3138,amul parlour near me,27100,3,4390,$0.24,1,14,https://www.zomato.com/mumbai/restaurants/amul-ice-cream-parlour-3
3139,711,33100,11,533,$0.16,1,45,https://www.zomato.com/mumbai/7eleven-vasai
3140,hotels in ahmedabad,49500,43,56,$0.34,95,39,https://www.zomato.com/ahmedabad/restaurants
3141,hilton garden inn lucknow,22200,11,406,$0.31,30,21,https://www.zomato.com/lucknow/garden-grille-bar-hilton-garden-inn-gomti-nagar
3142,goa fort aguada taj,27100,9,533,$0.38,56,29,https://www.zomato.com/goa/restaurants/in/taj-fort-aguada-resort-spa-candolim
3143,family restaurant,40500,11,1270,$0.34,2,25,https://www.zomato.com/dehradun/family-dining
3144,tibbs frankie,27100,6,4390,$0.20,3,27,https://www.zomato.com/mumbai/tibbs-frankie-serving-rolls-since-1969-tardeo
3145,ten down street,27100,4,8238,$0.27,3,32,https://www.zomato.com/hyderabad/10-downing-street-begumpet
3146,tea stall near me,27100,4,8238,$0.13,4,15,https://www.zomato.com/tea-restaurants-near-me
3147,tandoori chicken near me,22200,4,8238,$0.20,9,14,https://www.zomato.com/bangalore/restaurants/dish-tandoori-chicken
3148,sprouts salad company,27100,11,693,$0.21,1,23,https://www.zomato.com/pune/healthy-sprouts-salad-wakad/order
3149,soofi mandi calicut,27100,9,1270,$0.27,2,21,https://www.zomato.com/kozhikode/soofi-mandi-vellayil/order
3150,social khar mumbai,27100,1,8238,$0.11,3,22,https://www.zomato.com/KharSocial
3151,neemsi restaurant jp nagar,9900,3,8238,$0.07,6,22,https://www.zomato.com/bangalore/neemsi-jp-nagar-bangalore
3152,near me food open now,27100,4,8238,$0.07,11,73,https://www.zomato.com/restaurants-near-me
3153,meridian ice cream,27100,7,2636,$0.12,5,23,https://www.zomato.com/pune/meridian-ice-cream-camp-area
3154,mandi king arabian restaurant,18100,4,8238,$0.06,4,21,https://www.zomato.com/bangalore/mandi-king-arabian-restaurant-kammanahalli-bangalore
3155,machan,33100,17,246,$0.07,37,52,https://www.zomato.com/nagpur/machan-restaurant-1-wardha-road
3156,late checkout,27100,3,8238,$0.27,3,33,https://www.zomato.com/mumbai/late-checkout-lower-parel
3157,kolkata itc sonar bangla,27100,9,693,$0.75,56,37,https://www.zomato.com/kolkata/restaurants/in/itc-sonar
3158,rj 14,22200,2,8238,$0,1,24,https://www.zomato.com/jaipur/rj-14-ep-tonk-road
3159,restaurants in delhi,22200,4,8238,$2.51,6,21,https://www.zomato.com/ncr/restaurants
3160,restaurant at jp nagar,33100,4,8238,$0.04,9,23,https://www.zomato.com/bangalore/jp-nagar-restaurants
3161,rally's,27100,17,159,$0.83,1,78,https://www.zomato.com/kolkata/rallis-esplanade
3162,raju chur chur naan,12100,3,8238,$0.15,9,23,https://www.zomato.com/ncr/raju-chur-chur-naan-1-sector-12-dwarka-new-delhi
3163,raj restaurant,22200,5,8238,$0.30,3,25,https://www.zomato.com/ncr/raj-restaurant-2-sector-31
3164,pop tates,22200,5,4390,$0.44,2,25,https://www.zomato.com/mumbai/pop-tates-lower-parel
3165,phoenix united mall,27100,8,693,$0.02,5,23,https://www.zomato.com/lucknow/restaurants/in/phoenix-united-mall-alambagh
3166,south indian near me,22200,4,8238,$0.02,6,25,https://www.zomato.com/bangalore/restaurants/south-indian
3167,shree datta snacks,27100,6,4390,$0,4,23,https://www.zomato.com/mumbai/shree-datta-snacks-and-sweets-malad-east
3168,seafood food near me,27100,8,1785,$0.07,8,40,https://www.zomato.com/solapur/quick-bites/sea-food?sort=best&cft=1
3169,good restaurants in jaipur,33100,1,8238,$0.20,12,18,https://www.zomato.com/jaipur/restaurants
3170,gigi bombay,27100,4,4390,$0.11,3,27,https://www.zomato.com/mumbai/gigi-linking-road-bandra-west
3171,frozen fun gelato mumbai,27100,1,8238,$0,1,23,https://www.zomato.com/mumbai/frozen-fun-gelato-ice-cream-lower-parel
3172,frankie's,27100,9,1785,$0,1,40,https://www.zomato.com/srinagar/frankies-lal-bazaar
3173,food restaurants near me,27100,4,8238,$0.30,13,17,https://www.zomato.com/restaurants-near-me
3174,farmers cafe,18100,4,4390,$0,4,25,https://www.zomato.com/mumbai/farmers-cafe-1-khar
3175,famous restaurant in jaipur,27100,5,4390,$0.06,14,34,https://www.zomato.com/jaipur/restaurants
3176,elan epic,33100,32,56,$0.15,10,31,https://www.zomato.com/ncr/the-epic-sohna-road
3177,dwarka sector 13,22200,8,1270,$0.14,9,22,https://www.zomato.com/ncr/sector-13-dwarka-restaurants
3178,kerala indian food,27100,19,138,$0.09,1,52,https://www.zomato.com/hyderabad/restaurants/kerala
3179,juice shop,33100,10,915,$0,2,28,https://www.zomato.com/thejuiceshop
3180,jp nagar restaurants,27100,4,8238,$0.11,9,24,https://www.zomato.com/bangalore/jp-nagar-restaurants
3181,ibis golf course road gurgaon,27100,12,306,$0.64,21,22,https://www.zomato.com/ncr/spice-it-ibis-gurgaon-golf-course-road-golf-course-road-gurgaon/photos
3182,hotel shreyas,27100,2,8238,$0.16,12,30,https://www.zomato.com/pune/hotel-shreyas-deccan-gymkhana
3183,hiranandani estate thane west thane maharashtra,27100,10,1270,$0.17,5,19,https://www.zomato.com/mumbai/hiranandani-estate-thane-west-restaurants
3184,biergarten brewery & kitchen,27100,3,8238,$0.09,6,15,https://www.zomato.com/bangalore/biergarten-koramangala-5th-block-bangalore
3185,bar bank juhu,22200,3,8238,$0,1,19,https://www.zomato.com/mumbai/bar-bank-juhu
3186,alpha 2 main market,27100,7,915,$0,1,13,https://www.zomato.com/ncr/alpha-2-restaurants
3187,9th block jayanagar bangalore,27100,21,116,$0.18,6,18,https://www.zomato.com/bangalore/jayanagara-9th-block-restaurants
3188,dave and busters,22200,7,1270,$0.12,13,35,https://www.zomato.com/bangalore/dave-and-busters-koramangala-8th-block-bangalore
3189,corn dogs,22200,9,1270,$0.37,1,54,https://www.zomato.com/mumbai/restaurants/dish-corn-dogs
3190,continental food,33100,11,915,$0,1,27,https://www.zomato.com/mumbai/restaurants/continental
3191,chicken thali near me,27100,4,8238,$0.18,6,15,https://www.zomato.com/nanded/delivery/dish-non-veg-thali
3192,chembur camp,27100,41,56,$0,3,27,https://www.zomato.com/mumbai/hardev-kripa-amritsari-kulcha-chembur
3193,cafes in jayanagar,22200,4,8238,$0,3,20,https://www.zomato.com/bangalore/jayanagar-restaurants/cafes
3194,cafes in hauz khas,27100,6,2636,$0,3,14,https://www.zomato.com/ncr/hauz-khas-delhi-restaurants/caf%C3%A9
3195,cafe jayanagar,27100,4,8238,$0.28,13,30,https://www.zomato.com/bangalore/jayanagar-restaurants/cafes
3196,cafe in jayanagar,22200,5,8238,$0,3,20,https://www.zomato.com/bangalore/jayanagar-restaurants/cafes
3197,cafe co2,27100,2,4390,$0,6,28,https://www.zomato.com/pune/cafe-co2-resto-lounge-bhugaon
3198,bombay adda,27100,4,4390,$0,3,27,https://www.zomato.com/bangalore/bombay-adda-koramangala-7th-block-bangalore
3199,balaji near me,27100,10,915,$0.03,1,19,https://www.zomato.com/ahmedabad/shree-balaji-garden-restaurant-thaltej
3200,under the neem,27100,5,2636,$0.09,3,22,https://www.zomato.com/ncr/under-the-neem-sector-83
3201,top restaurants jaipur,27100,4,8238,$0.06,13,25,https://www.zomato.com/jaipur/restaurants
3202,top restaurants in pune,27100,4,8238,$0.22,9,16,https://www.zomato.com/pune/dine-out
3203,sobo center bopal,27100,3,2636,$0.09,6,18,https://www.zomato.com/ahmedabad/restaurants/in/sobo-center-bopal
3204,smirnoff vodka jamun,14800,11,915,$0,1,18,https://www.zomato.com/kolkata/restaurants/dish-smirnoff-vodka
3205,restaurants to deliver,27100,5,4390,$0.10,2,24,https://www.zomato.com/
3206,restaurants in kolkata,27100,4,8238,$0.29,8,24,https://www.zomato.com/kolkata/restaurants
3207,restaurant veg near me,27100,6,2636,$0.05,11,24,https://www.zomato.com/mumbai/navi-mumbai-restaurants?veg=1
3208,restaurant that delivery,27100,5,4390,$0.11,2,25,https://www.zomato.com/hyderabad/delivery
3209,restaurant near me for lunch,27100,4,8238,$0.25,16,18,https://www.zomato.com/restaurants-near-me
3210,udaipur leela palace,27100,19,138,$0.45,56,44,https://www.zomato.com/udaipur/sheesh-mahal-the-leela-pichola
3211,third wave coffee roasters,27100,18,203,$0.21,4,15,https://www.zomato.com/bangalore/third-wave-coffee-hsr-bangalore
3212,the only place,27100,3,8238,$0.25,3,24,https://www.zomato.com/bangalore/the-only-place-church-street
3213,taro's,27100,37,56,$0.02,1,31,https://www.zomato.com/hyderabad/taro-1-jubilee-hills
3214,sula vineyards nashik,27100,17,151,$0.10,5,23,https://www.zomato.com/nashik/sula-vineyards-satpur
3215,oh dough mumbai,9900,4,4390,$0.42,7,22,https://www.zomato.com/mumbai/oh-dough-fort
3216,near cake shop,27100,4,8238,$0.11,33,31,https://www.zomato.com/bakeries-near-me
3217,dusk,22200,10,533,$0,1,37,https://www.zomato.com/hyderabad/dusk-dine-by-the-skyline-paradise-circle-secunderabad
3218,defence colony main market,27100,1,8238,$0.44,1,21,https://www.zomato.com/ncr/restaurants/in/defence-colony-main-market-defence-colony
3219,creme castle,22200,7,2636,$0.20,98,54,https://www.zomato.com/ncr/creme-castle-cakes-and-desserts-janakpuri-new-delhi
3220,chinese open,27100,6,8238,$0,1,21,https://www.zomato.com/mumbai/restaurants/chinese?open=now
3221,cake shop near me open now,18100,4,8238,$0.16,21,17,https://www.zomato.com/bakeries-near-me
3222,cafes in jayanagar bangalore,22200,4,8238,$0.03,9,23,https://www.zomato.com/bangalore/jayanagar-restaurants/cafes
3223,cafe in kolkata,22200,4,8238,$0,4,21,https://www.zomato.com/kolkata/great-cafes
3224,burger king menu,33100,6,1270,$0.16,1,22,https://www.zomato.com/ncr/burger-king-1-janakpuri-new-delhi/order
3225,k charcoal,49500,4,8238,$0,6,34,https://www.zomato.com/ahmedabad/ks-charcoal-bodakdev
3226,jp nagar eateries,27100,7,2636,$0.04,11,23,https://www.zomato.com/bangalore/jp-nagar-restaurants
3227,itc sonar,27100,10,533,$0.49,54,43,https://www.zomato.com/kolkata/restaurants/in/itc-sonar
3228,hotel itc rajputana jaipur,27100,45,56,$0.50,36,28,https://www.zomato.com/jaipur/jal-mahal-itc-rajputana-hotel-gopalbari
3229,honey dough,22200,5,4390,$0.10,3,37,https://www.zomato.com/ncr/honey-dough-karkardooma-new-delhi
3230,greens veg,27100,22,151,$0.01,21,26,https://www.zomato.com/mumbai/greens-restaurant-malad-west
3231,green leaf,27100,14,406,$1.83,2,27,https://www.zomato.com/ncr/the-green-leaf-sikandarpur-gurgaon
3232,good restaurants pune,27100,4,8238,$0.06,7,26,https://www.zomato.com/pune/dine-out
3233,gk market m block,27100,2,8238,$0.33,1,18,https://www.zomato.com/ncr/restaurants/in/m-block-market-greater-kailash-1-gk1
3234,g t karnal road,27100,47,56,$0.10,3,26,https://www.zomato.com/ncr/the-gt-road-connaught-place-new-delhi
3235,m g road bangalore,27100,11,915,$0.07,1,24,https://www.zomato.com/bangalore/mg-road-restaurants
3236,kovalam leela,27100,30,56,$0.12,65,46,https://www.zomato.com/trivandrum/the-terrace-the-leela-raviz-kovalam-kovalam
3237,koramangala club road,9900,7,2636,$0.22,14,20,https://www.zomato.com/bangalore/koramangala-6th-block-restaurants/club
3238,kausar bakery,18100,29,59,$0.64,4,25,https://www.zomato.com/vi/bangalore/kauser-nagar-restaurants/bakery
3239,kashmir near me,27100,5,8238,$0.02,5,23,https://www.zomato.com/ncr/restaurants/kashmiri
3240,best restaurants pune,27100,4,8238,$0.40,9,24,https://www.zomato.com/pune/dine-out
3241,bar lounge near me,33100,4,8238,$0.35,5,16,https://www.zomato.com/bars-near-me
3242,banana leaf restaurant,27100,5,4390,$0.02,4,23,https://www.zomato.com/indore/banana-leaf-vijay-nagar
3243,baklava sweet,27100,14,533,$0.14,93,54,https://www.zomato.com/hyderabad/gourmet-baklava-banjara-hills
3244,3rd street,27100,19,138,$0.13,3,30,https://www.zomato.com/ncr/mahajan-the-3rd-street-cafe-krishna-nagar-new-delhi
3245,2bhk diner & key club,27100,3,8238,$0,3,14,https://www.zomato.com/pune/2bhk-diner-key-club-bund-garden
3246,zorko,27100,9,1785,$0.16,1,23,https://www.zomato.com/ncr/zorko-brand-of-food-lovers-satyaniketan-new-delhi
3247,vice versa,27100,26,62,$0,1,26,https://www.zomato.com/pune/vice-versa-pimple-nilakh
3248,velvet bombay,27100,8,915,$0,1,35,https://www.zomato.com/mumbai/bombay-velvet-dombivali-east
3249,tribeca highstreet,27100,16,159,$0.56,6,25,https://www.zomato.com/pune/the-urban-foundry-nibm-road
3250,the old mirchi biryani,27100,4,8238,$0,6,15,https://www.zomato.com/chennai/the-old-mirchi-biryani-thuraipakkam
3251,thane w,27100,57,56,$0.11,6,19,https://www.zomato.com/mumbai/merwans-cake-stop-panch-pakhadi-thane-west-thane
3252,maharaja chat,22200,3,8238,$0.14,10,20,https://www.zomato.com/hyderabad/maharaja-chaat-madhapur
3253,places for dinner near me,22200,4,8238,$0.30,10,15,https://www.zomato.com/mumbai/restaurants
3254,oh dough fort,18100,4,4390,$0.29,4,22,https://www.zomato.com/mumbai/oh-dough-fort
3255,govind garden restaurant,33100,3,8238,$0.22,10,21,https://www.zomato.com/pune/govind-garden-pimple-saudagar
3256,gk m block market delhi,27100,7,2636,$0.04,1,24,https://www.zomato.com/ncr/restaurants/in/m-block-market-greater-kailash-1-gk1
3257,fun republic mall lucknow,33100,10,406,$0.08,6,16,https://www.zomato.com/lucknow/restaurants/in/fun-republic-mall-gomti-nagar
3258,fuel station,27100,4,8238,$0.07,1,41,https://www.zomato.com/nagpur/fuel-station-cafe-restro-dharampeth
3259,frozen fun gelato jaipur,27100,2,8238,$0,1,21,https://www.zomato.com/jaipur/frozen-fun-gelato-ice-cream-c-scheme
3260,feel laban,27100,6,4390,$0.12,2,22,https://www.zomato.com/chennai/feel-laban-akkarai/order
3261,eternal ltd,14800,59,56,$0,1,32,https://www.zomato.com/
3262,eden park restaurant,27100,3,8238,$0,7,24,https://www.zomato.com/bangalore/eden-park-cunningham-road
3263,dinner ideas near me,27100,4,8238,$0.07,14,25,https://www.zomato.com/restaurants-near-me
3264,dining in kolkata,27100,4,8238,$0.06,7,22,https://www.zomato.com/kolkata/dine-out
3265,dining in delhi,22200,4,8238,$0.20,5,21,https://www.zomato.com/ncr/restaurants
3266,juhu chowpatty,40500,8,1785,$0.82,1,31,https://www.zomato.com/mumbai/restaurants/in/juhu-chowpatty-juhu
3267,japanese food restaurants near me,22200,5,8238,$0.04,9,29,https://www.zomato.com/japanese-restaurants-near-me
3268,ice cream shop ice cream,27100,11,1270,$0.08,1,50,https://www.zomato.com/indore/restaurants/ice-cream
3269,hyatt place gurgaon udyog vihar,27100,17,138,$5.72,20,20,https://www.zomato.com/ncr/gallery-caf-hyatt-place-udyog-vihar
3270,hotel in hyderabad,9900,100,53,$0.40,86,41,https://www.zomato.com/hyderabad/mekong-begumpet
3271,hotel chariot beach resort mahabalipuram,27100,27,56,$0.16,44,21,https://www.zomato.com/chennai/restaurants/in/chariot-beach-resort-mahabalipuram
3272,haveli restaurants,27100,7,2636,$0.03,1,22,https://www.zomato.com/kolkata/haveli-sector-2-salt-lake
3273,bharath hotel,27100,4,4390,$0.13,2,21,https://www.zomato.com/vi/thrissur/hotel-bharath-vegetarian-poothole/reviews?amp=1
3274,bharat hotel,22200,4,2636,$0.16,2,25,https://www.zomato.com/mumbai/hotel-bharat-mahalaxmi
3275,amir's,27100,13,406,$0,1,54,https://www.zomato.com/nagpur/amir-punjabi-restaurant-by-khana-khazana-gandhibagh
3276,chariot resort in mahabalipuram,27100,49,56,$0.17,39,20,https://www.zomato.com/chennai/restaurants/in/chariot-beach-resort-mahabalipuram
3277,chaat near me,27100,5,8238,$1.07,5,23,https://www.zomato.com/mumbai/delivery/dish-chaat
3278,cafes jayanagar,22200,4,8238,$0.04,13,22,https://www.zomato.com/bangalore/jayanagar-restaurants/cafes
3279,cafes in kolkata,22200,4,8238,$0.19,3,20,https://www.zomato.com/kolkata/great-cafes
3280,biryani hotel near me,22200,4,8238,$0.18,9,14,https://www.zomato.com/bangalore/restaurants/biryani
3281,yadav nagar,27100,66,56,$0.10,3,19,https://www.zomato.com/ncr/yadav-shudh-bhojnalaya-raj-nagar-ghaziabad
3282,weather lalpur,22200,21,73,$0,1,24,https://www.zomato.com/contact
3283,the royal plaza hotel new delhi,27100,17,151,$0.43,17,41,https://www.zomato.com/ncr/restaurants/in/hotel-the-royal-plaza-janpath
3284,the coffee bean & tea leaf,22200,7,1785,$0,3,12,https://www.zomato.com/ncr/the-coffee-bean-tea-leaf-sector-50-noida
3285,sompura gate,27100,32,56,$0.54,8,29,https://www.zomato.com/bangalore/ahapuram-sarjapur-road-bangalore
3286,seetha circle,27100,32,56,$0.11,4,19,https://www.zomato.com/bangalore/new-sagar-fast-food-banashankari
3287,restaurant in delhi india,22200,4,8238,$0.07,4,42,https://www.zomato.com/ncr/restaurants
3288,waffle shop near me,18100,4,8238,$0.20,6,12,https://www.zomato.com/chennai/restaurants/waffle
3289,vrindavan restaurant,27100,4,8238,$0.14,3,27,https://www.zomato.com/mumbai/vrindavan-azad-nagar
3290,urban chowk,27100,7,2636,$0,3,27,https://www.zomato.com/ahmedabad/restaurants/in/urban-chowk
3291,truffles st marks,27100,3,8238,$0.07,7,20,https://www.zomato.com/bangalore/truffles-st-marks-road
3292,trick's,27100,61,56,$0,1,73,https://www.zomato.com/hyderabad/trick-bar-kitchen-by-10d-nallagandla/order
3293,the glass onion,22200,1,8238,$0,7,22,https://www.zomato.com/hyderabad/the-glass-onion-gachibowli
3294,taj aguada goa,27100,9,915,$0.43,65,38,https://www.zomato.com/goa/restaurants/in/taj-fort-aguada-resort-spa-candolim
3295,surya palace baroda,27100,22,89,$0.35,5,32,https://www.zomato.com/vadodara/azure-grand-mercure-vadodara-surya-palace-sayajigunj
3296,sula wines nashik,12100,15,203,$0.06,1,16,https://www.zomato.com/nashik/sula-vineyards-satpur
3297,sula wines in nashik,27100,16,159,$0.19,5,41,https://www.zomato.com/nashik/sula-vineyards-satpur
3298,steve's,27100,59,56,$0,1,33,https://www.zomato.com/chennai/steves-kitchen-pallikaranai
3299,sri mu saravana bhavan,27100,7,4390,$0.15,1,21,https://www.zomato.com/thrissur/sri-mu-saravana-bhavan-puzhakkal
3300,south indian food,27100,11,915,$0.04,1,38,https://www.zomato.com/bangalore/restaurants/south-indian
3301,sindh sweets,480,6,2636,$0,1,22,https://www.zomato.com/aligarh/sindh-sweets-aligarh-locality/order
3302,sector 31 main market,27100,1,8238,$0.11,1,26,https://www.zomato.com/ncr/restaurants/in/huda-market-sector-31
3303,s near me,27100,2,8238,$0,1,19,https://www.zomato.com/restaurants-near-me
3304,oka,27100,7,693,$1.30,1,40,https://www.zomato.com/amritsar/oka-open-kitchen-at-astoria-ranjit-avenue
3305,number 4 road,27100,18,159,$0.14,4,27,https://www.zomato.com/hyderabad/road-number-4-zahara-nagar-restaurants?place_name=Road+4%2C+Banjara+Hills&dishv2_id=45873&context=delivery&category=1
3306,non veg near me,22200,5,4390,$0.04,8,37,https://www.zomato.com/mumbai/restaurants/dish-non-veg
3307,lounge bar near me,33100,4,8238,$0.30,5,16,https://www.zomato.com/lounges-near-me
3308,seafood near near me,27100,8,1785,$0.07,8,44,https://www.zomato.com/ankleshwar/restaurants/sea-food?sort=best&lang=por&user_lang_change=1
3309,restaurants who deliver,27100,7,2636,$0.14,2,25,https://www.zomato.com/ncr/delivery
3310,restaurant to deliver,27100,6,2636,$0.11,2,26,https://www.zomato.com/
